sentence,picture1,picture2,picture3,picture4
die Rettungssanitäterin wird ihren Kollegen ermahnen dass Schlafen und Arbeiten nicht zusammengehören.,49_1_related_JPG.JPG,49_2_related_JPG.JPG,49_3_JPG.JPG,49_4_JPG.JPG
Die Präsidentin wird bekannt geben dass Verschwörung und Veruntreuung eher eine Frage der Perspektive sind.,50_1_JPG.JPG,50_2_JPG.JPG,50_3_JPG.JPG,50_4_JPG.JPG
Das Model wird zu ihrem wütenden Freund meinen dass Anlächeln und Flirten doch nicht dasselbe sind.,51_1_JPG.JPG,51_2_JPG.JPG,51_3_JPG.JPG,51_4_JPG.JPG
Der Nerd wird betonen dass Apple und Windows gar nicht identisch sind.,52_1_related_JPG.JPG,52_2_related_JPG.JPG,52_3_JPG.JPG,52_4_JPG.JPG
Die Nonne wird beklagen dass Vergötterung und Nichtbeachtung heute gang und gäbe sind.,53_1JPG.JPG,53_2_JPG.JPG,53_3_JPG.JPG,53_4_JPG.JPG
Karla wird zu dem Klempner brüllen dass ihm Höflichkeit und Sauberkeit gewiss fremd sind.,54_1_related_JPG.JPG,54_2_related_JPG.JPG,54_3_JPG.JPG,54_4_JPG.JPG
Der Tourist wird betonen dass Feinkost und Italien absolut gleichbedeutend sind.,55_1_related_JPG.JPG,55_2_related_JPG.JPG,55_3_JPG.JPG,55_4_JPG.JPG
Die Mutter wird bekräftigen dass Langeweile und Fernsehen ein und dasselbe sind.,56_1_related_JPG.JPG,56_2_related_JPG.JPG,56_3_JPG.JPG,56_4_JPG.JPG
Gereiztheit und Trinkgeld gehen nie Hand in Hand so scherzte die Kellnerin.,57_1_related_JPG.JPG,57_2_JPG.JPG,57_3_JPG.JPG,57_4_JPG.JPG
Die Erzieherin wird schreien dass Religion und Gehirnwäsche dicht beieinanderliegen.,58_1_related_JPG.JPG,58_2_JPG.JPG,58_3_JPG.JPG,58_4_JPG.JPG
Geduld und Fleiß sind ähnlich wichtig für den Erfolg das erzählte die Malerin.,59_1_JPG.JPG,59_2_JPG.JPG,59_3_JPG.JPG,59_4_JPG.JPG
Der Alkoholiker wird sich damit rechtfertigen dass Arbeitslosigkeit und Suff ganz gut zusammenpassen würden.,60_1_related_JPG.JPG,60_2_related_JPG.JPG,60_3_JPG.JPG,60_4_JPG.JPG
Der Prinz wird im siebten Himmel schweben und die Republikaner werden dabei genervt sein.,61_1_related_JPG.JPG,61_2_JPG.JPG,61_3_JPG.JPG,61_4_JPG.JPG
Der Senator wird darauf bestehen Das A und O der Widerstandsbewegung zu kennen.,62_1_JPG.JPG,62_2JPG.JPG,62_3_JPG.JPG,62_4_JPG.JPG
Der Berliner wird sich wehren um sich von dem Senat nicht die Butter vom Brot nehmen zu lassen.,63_1_related_JPG.JPG,63_2_JPG.JPG,63_3_JPG.JPG,63_4_JPG.JPG
Der Diktator wird rechtzeitig vor dem Attentat den Braten riechen können.,64_1_related_JPG.JPG,64_2_JPG.JPG,64_3_JPG.JPG,64_4_JPG.JPG
Die Mutter wird sich schämen nach dem zweiten Glas Wein die Sau rausgelassen zu haben.,65_1_related_JPG.JPG,65_2_related_JPG.JPG,65_3_JPG.JPG,65_4_JPG.JPG
Der Einzelhändler wird entdecken dass er von seinem Partner in die Pfanne gehauen wurde.,66_1_JPG.JPG,66_2_JPG.JPG,66_3_JPG.JPG,66_4_JPG.JPG
Der Sozialarbeiter wird während der Budgetplanung am Katzentisch sitzen müssen.,67_1_related_JPG.JPG,67_2_JPG.JPG,67_3_JPG.JPG,67_4_JPG.JPG
Die Bürger werden merken dass der Herrscher nicht alle Tassen im Schrank hat.,68_1_related_JPG.JPG,68_2_related_JPG.JPG,68_3_JPG.JPG,68_4_JPG.JPG
Thomas wird sich engagieren weil sein Schulkamerad auf den Hund gekommen ist.,69_1_related_JPG.JPG,69_2_JPG.JPG,69_3_JPG.JPG,69_4_JPG.JPG
Der Tutor steht immer auf dem Schlauch und die Dozentin findet es ziemlich nervig.,70_1_JPG.JPG,70_2_JPG.JPG,70_3_JPG.JPG,70_4_JPG.JPG
Die Druckerin wird sich die Gehaltserhöhung durch die Lappen gehen lassen und sie wird sehr davon genervt sein.,71_1_JPG.JPG,71_2_JPG.JPG,71_3_JPG.JPG,71_4_JPG.JPG
Die Firmeninhaberin wird sich während des Streiks vom Acker machen und das wird für sie selbstverständlich sein.,72_1_JPG.JPG,72_2_JPG.JPG,72_3_JPG.JPG,72_4_JPG.JPG
Die Kundin wird das Haar in der Suppe suchen und die Modedesignerin wird weiter an dem Rock arbeiten müssen.,73_1_JPG.JPG,73_2_JPG.JPG,73_3_JPG.JPG,73_4_JPG.JPG
Der Aktionär wird den Wald vor lauter Bäumen nicht sehen können und die Geschäftsführerin wird es nicht ertragen können.,74_1_JPG.JPG,74_2_JPG.JPG,74_3_JPG.JPG,74_4_JPG.JPG
Der Techniker wird der Oma die Katze im Sack verkaufen und die Oma wird es gar nicht merken.,75_1_JPG.JPG,75_2_JPG.JPG,75_3_JPG.JPG,75_4_JPG.JPG
Die Reparatur des Wagens wird ein Schuss in den Ofen sein und der Mechaniker wird an seinen Fähigkeiten zweifeln.,76_1_related_JPG.JPG,76_2_Related_JPG.JPG,76_3_JPG.JPG,76_4_JPG.JPG
Eine Tasse Kaffee wird dem Gedächtnis der Kellnerin auf die Sprünge helfen und sie wird sich wieder beruhigen.,77_1_JPG.JPG,77_2_JPG.JPG,77_3_JPG.JPG,77_4_JPG.JPG
Die Kanzlerin wird ihrem Gegner die Leviten lesen und der zänkische Mann wird sich wieder zurückziehen.,78_1_JPG.JPG,78_2_JPG.JPG,78_3_JPG.JPG,78_4_JPG.JPG
Jetzt ist die Beliebtheit der Köchin Schnee von gestern und die angestellten des Restaurants widmen sich ihren Aufgaben.,79_1_related_JPG.JPG,79_2_related_JPG.JPG,79_3_JPG.JPG,79_4_JPG.JPG
Ihre Patienten reden ohne Punkt und Komma und die Heilkundige bring ihnen viel Verständnis entgegen.,80_1_JPG.JPG,80_2_JPG.JPG,80_3_JPG.JPG,80_4_JPG.JPG
Die Leberwurst der Metzgerin schmeckt unter aller Kanone und sie möchte das Rezept nicht noch einmal befolgen.,81_1_Related_JPG.JPG,81_2_related_JPG.JPG,81_3_JPG.JPG,81_4_JPG.JPG
Die Gattin darf die Lunte nicht riechen damit der Ehemann die Vorbereitungen alleine anschließen kann.,82_1_JPG.JPG,82_2_JPG.JPG,82_3_JPG.JPG ,82_4_JPG.JPG
Die Kunden werfen die Perlen vor die Säue und die Vermögensberaterin kann nichts dagegen tun.,83_1_JPG.JPG ,83_2_JPG.JPG ,83_3_JPG.JPG,83_4_JPG.JPG
Karla steigt dem Klempner aufs Dach und sie fordert eine angemessene Entschädigung.,84_1_JPG.JPG,84_2_JPG.JPG,84_3_JPG.JPG,84_4_JPG.JPG
Moni hat das Gefühl dass ihre Goldmedaille der höchste Berg in ihrem Leben ist.,85_1_related_JPG.JPG,85_2_JPG.JPG,85_3_JPG.JPG,85_4_JPG.JPG
Der böse Winter wird endlich weggehen und es wird für die Medizinerin befreiend sein.,86_1_JPG.JPG,86_2_JPG.JPG,86_3_JPG.JPG,86_4_JPG.JPG
Die Sonne wird die Kauffrau morgen schallend anlachen und sie wird sich darüber freuen.,87_1_related_JPG.JPG,87_2_related_JPG.JPG,87_3_JPG.JPG,87_4_JPG.JPG
Der Ehemann von Katharina wird mit ihrer Schwester einen anderen Weg einschlagen und Katharina wird es kaum glauben können.,88_1_JPG.JPG,88_2_JPG.JPG,88_3_JPG.JPG,88_4_JPG.JPG
Die Bäckerin verliert ihren Kompass hinsichtlich der Zukunft ihres Ladens und wird deswegen die Bäckerei für zu wenig Geld verkaufen.,89_1_related_JPG.JPG,89_2_JPG.JPG,89_3_JPG.JPG,89_4_JPG.JPG
Die Dissertation zu schreiben wird für Maria eine steile und lange Reise ins Unbekannte sein.,90_1_related_JPG.JPG,90_2_JPG.JPG,90_3_JPG.JPG,90_4_JPG.JPG
Der Landwirt wird mit der neuen Ernte einen Sechser würfeln und seine Freunde werden sehr beeindruckt sein.,91_1_related_JPG.JPG,91_2_related_JPG.JPG,91_3_JPG.JPG,91_4_JPG.JPG
Der Beziehung des Busfahrers geht das Benzin aus und das ist traurig für das Paar.,92_1_related_JPG.JPG,92_2_JPG.JPG,92_3_JPG.JPG,92_4_JPG.JPG
Die Firma läuft nicht mehr so gut wie früher und die Managerin ist davon genervt.,93_1_JPG.JPG,93_2_JPG.JPG,93_3_JPG.JPG,93_4_JPG.JPG
Die Argumente der Rednerin durchsieben die Langeweile der Zuhörer und sie ist sehr stolz auf sich.,94_1_JPG.JPG,94_2JPG.JPG,94_3_JPG.JPG,94_4_JPG.JPG
Die Kritik des Freundes fährt im Kreisverkehr und die Köchin findet es lustig.,95_1_JPG.JPG,95_2_JPG.JPG,95_3_JPG.JPG,95_4_JPG.JPG
Das Berufsleben der Jägerin steckt in einer Sackgasse und sie wird vielleicht etwas anders machen.,96_1_JPG.JPG,96_2_JPG.JPG,96_3_JPG.JPG,96_4_JPG.JPG
Der Patient tritt die Ratschläge der Physiotherapeutin mit Füßen und sie wird dabei sehr frustriert sein.,97_1_JPG.JPG,97_2_JPG.JPG,97_3_JPG.JPG,97_4_JPG.JPG
Die Firma des Gärtners wird weiterwachsen und erblühen und das wird den Gärtner glücklich machen.,98_1_JPG.JPG,98_2_JPG.JPG,98_3_JPG.JPG,98_4_JPG.JPG
Die Optikerin verzockt sich mit der Wahl ihrer Geschäftspartnerin und wird deswegen sehr traurig sein.,99_1_JPG.JPG,99_2_JPG.JPG,99_3_JPG.JPG,99_4_JPG.JPG
Die Mutter wird der Tochter den Krieg erklären und es wird eine effektive Maßnahme sein.,100_1_related_JPG.JPG,100_2_JPG.JPG,100_3_JPG.JPG,100_4_JPG.JPG
Dass der Kommunist Tage braucht um die Ideen des Genossen herunterzuschlucken ist verständlich.,101_1_JPG.JPG,101_2_JPG.JPG,101_3_JPG.JPG,101_4_JPG.JPG
Dass sein Gast vor Wut brutzelt ist amüsant für den Showmaster.,102_1_JPG.JPG,102_2_JPG.JPG,102_3_JPG.JPG,102_4_JPG.JPG
Der Tod des Angestellten wird einen Schlag ins Gesicht für die Finanzen der Firma bedeuten und Anton wird sehr traurig sein.,103_1_related_JPG.JPG,103_2_JPG.JPG,103_3_JPG.JPG,103_4_JPG.JPG
Der Berufsweg der Köchin wird kurvig und voller Steine sein und die Köchin wird am Ende ihre Träume erfüllen.,104_1_related_JPG.JPG,104_2_related_JPG.JPG,104_3_JPG.JPG,104_4_JPG.JPG
Der Herzog wird den ganzen Raum mit seinen Ideen durchleuchten und die Gattin wird hoch erfreut sein.,105_1_related_JPG.JPG,105_2_related_JPG.JPG,105_3_JPG.JPG,105_4_JPG.JPG
Der Film der Regisseurin wird sich nach der letzten Kürzung in der Notaufnahme befinden und die Regisseurin wird sehr traurig sein.,106_1_JPG.JPG,106_2_JPG.JPG,106_3_JPG.JPG,106_4_JPG.JPG
Der Computer der Informatikerin wird nach einem kurzen Leben sterben und die Informatikerin wird sehr enttäuscht sein.,107_1_related_JPG.JPG,107_2_related_JPG.JPG,107_3_JPG.JPG,107_4_JPG.JPG
Der Seemann bekommt schlechte Nachrichten und weiß dass die Krebsdiagnose seine Lebenserwartung bis zum tiefsten Ozeangrund senken wird.,108_1_related_JPG.JPG,108_2_related_JPG.JPG,108_3_JPG.JPG,108_4_JPG.JPG
